transaction_amount,transaction_time,transaction_type,location_distance_km,is_international,past_fraud_history,fraud
749.71,18,ATM,376.63,0,4,0
1901.48,7,POS,380.4,0,4,1
1464.26,6,Online,29.96,0,4,0
1197.72,15,POS,9.39,0,0,0
312.88,18,ATM,486.97,0,4,0
312.83,5,Online,96.69,0,4,1
117.11,19,POS,411.07,0,0,0
1732.49,20,Online,280.93,0,4,0
1202.63,10,POS,132.24,0,3,0
1416.44,4,ATM,64.99,0,3,0
42.15,15,ATM,248.34,0,0,0
1939.85,6,Online,203.68,0,3,1
1665.05,4,Online,349.44,0,5,0
425.47,10,Online,452.08,0,5,0
364.47,14,POS,402.62,0,5,0
367.63,2,ATM,137.23,0,2,0
609.18,4,Online,439.47,0,4,1
1049.99,22,Online,416.7,0,2,0
864.46,20,Online,464.57,0,3,1
583.17,4,POS,229.33,0,0,0
1224.09,8,Online,384.29,1,5,1
279.85,14,Online,295.83,0,0,0
585.0,2,POS,155.25,0,2,0
733.36,5,POS,497.22,0,3,1
912.68,16,Online,19.15,0,4,0
1570.57,20,Online,81.14,0,3,1
400.15,7,POS,446.27,0,5,0
1028.95,20,ATM,30.28,0,3,1
1185.24,10,POS,443.41,0,0,0
93.85,5,ATM,357.61,0,1,0
1215.48,7,Online,18.34,0,5,1
341.88,9,Online,214.66,0,4,0
131.04,23,ATM,377.24,0,5,1
1897.82,2,POS,291.55,0,5,0
1931.3,22,Online,467.94,0,4,1
1616.99,13,ATM,433.82,0,5,0
609.92,22,POS,166.32,1,0,0
196.25,13,ATM,42.31,0,3,1
1368.78,9,POS,472.13,0,0,0
880.86,11,POS,258.64,0,3,1
244.95,5,POS,37.2,0,1,0
990.86,11,POS,408.29,0,5,0
69.74,22,ATM,434.25,0,1,0
1818.73,13,ATM,319.71,0,2,0
518.3,1,ATM,223.75,0,3,0
1325.38,8,ATM,331.09,0,0,0
624.11,9,ATM,353.34,0,0,0
1040.62,16,POS,446.51,0,5,1
1093.87,16,Online,477.93,0,0,0
370.52,2,Online,257.16,0,2,0
1939.2,18,ATM,399.25,0,4,0
1550.49,0,ATM,482.25,0,0,0
1879.06,11,Online,75.62,0,5,0
1789.76,6,POS,9.13,1,1,0
1196.2,3,ATM,434.48,1,0,0
1843.83,9,POS,97.64,0,0,0
177.9,12,Online,21.24,0,0,0
392.77,1,Online,80.05,0,5,0
91.41,9,ATM,192.06,1,4,1
651.34,20,POS,109.63,0,0,0
777.97,21,ATM,152.63,0,4,0
543.43,3,Online,487.65,0,4,0
1657.65,17,POS,352.2,0,2,0
714.15,4,ATM,356.1,0,1,0
562.59,18,ATM,47.34,0,0,0
1085.85,1,ATM,366.05,0,0,0
282.71,11,Online,369.67,0,0,0
1604.59,16,ATM,329.87,0,4,1
150.03,9,POS,114.22,0,3,0
1973.79,1,ATM,211.52,0,1,0
1544.72,5,Online,423.14,0,5,0
398.23,7,ATM,335.1,0,0,0
12.04,18,Online,366.38,0,3,1
1631.11,10,Online,293.69,0,3,0
1414.01,11,POS,224.79,0,3,0
1458.29,8,POS,379.53,0,1,0
1542.77,1,ATM,33.96,0,3,1
149.02,7,Online,336.58,0,5,0
717.57,10,Online,498.6,0,0,0
232.62,20,POS,390.1,0,5,0
1726.34,3,POS,145.28,0,0,1
1246.97,9,ATM,138.91,0,2,0
662.47,20,Online,333.61,0,4,1
128.05,19,POS,447.93,0,3,0
622.65,15,ATM,288.97,0,5,0
651.04,7,Online,263.7,0,4,0
1459.48,3,Online,80.19,0,4,0
1275.48,9,POS,357.73,0,4,1
1774.54,11,ATM,351.15,0,4,0
944.96,13,POS,483.48,1,4,1
240.07,15,ATM,150.1,0,0,0
1426.78,21,Online,378.22,0,1,0
1521.81,17,ATM,217.03,0,3,1
1122.99,20,ATM,279.24,0,3,0
1542.16,21,ATM,408.23,0,0,0
988.1,20,ATM,111.0,0,5,0
1045.94,11,ATM,171.43,0,0,0
855.65,17,POS,386.65,0,4,1
51.81,6,ATM,285.23,0,1,0
216.67,19,ATM,46.21,0,3,0
63.83,23,Online,215.09,0,5,0
1273.18,22,ATM,293.32,0,2,0
629.4,6,Online,454.76,0,0,1
1017.63,8,POS,94.24,1,2,0
1815.23,0,POS,402.98,0,3,0
499.34,5,ATM,65.31,0,0,0
821.36,5,POS,121.12,0,3,0
1511.35,21,ATM,121.67,0,0,1
458.37,11,POS,438.74,0,5,0
154.88,21,ATM,99.51,0,3,0
580.21,11,ATM,393.48,0,2,0
323.28,9,Online,230.9,0,1,0
1859.47,22,Online,499.55,0,5,0
1616.43,5,Online,419.55,0,5,0
1267.17,16,Online,369.85,0,0,0
1743.05,18,ATM,435.36,0,2,0
1607.54,17,POS,317.02,0,3,1
373.95,5,ATM,421.83,0,2,0
1785.23,23,Online,130.56,0,5,1
1079.15,18,Online,48.85,0,0,0
1615.07,9,POS,307.97,0,2,0
1792.29,23,Online,217.35,0,3,0
636.69,7,ATM,213.22,0,4,0
220.99,20,ATM,263.37,0,5,0
456.64,23,ATM,180.69,0,1,0
854.79,5,ATM,313.03,0,1,0
1636.21,20,ATM,15.28,0,5,1
1721.6,6,POS,484.95,0,4,1
14.9,23,ATM,462.35,0,0,0
1021.98,0,Online,467.64,1,2,0
835.4,17,Online,182.5,0,2,0
444.99,23,Online,265.95,0,4,0
240.61,19,Online,477.07,0,4,0
675.89,11,POS,451.17,0,3,0
1885.88,15,Online,395.12,0,3,0
647.08,9,POS,203.67,0,1,0
1038.06,9,Online,282.17,0,0,0
1406.33,13,POS,396.46,0,0,0
727.9,19,POS,136.51,0,4,0
1943.59,9,POS,313.22,0,1,1
1924.93,9,Online,413.97,0,1,0
504.31,10,POS,353.73,0,3,0
995.0,22,ATM,239.74,1,2,0
602.46,1,ATM,292.3,0,0,0
570.4,19,Online,494.34,0,1,0
74.74,7,ATM,300.99,0,3,0
1219.52,22,ATM,392.81,0,3,0
1005.86,6,ATM,363.3,0,3,1
103.91,7,Online,350.75,0,2,0
558.01,0,Online,358.18,0,1,0
1816.62,20,ATM,227.2,0,4,0
479.88,1,Online,237.08,0,4,0
290.64,17,POS,233.93,0,3,0
979.42,14,ATM,16.63,0,3,1
1971.32,0,Online,120.53,1,2,1
484.87,4,Online,77.28,0,3,0
1344.6,1,ATM,443.22,0,5,0
1523.48,19,Online,137.48,0,1,0
476.04,2,ATM,69.22,0,3,1
1456.7,18,Online,59.88,1,3,0
736.2,17,POS,349.99,1,1,0
1264.98,21,ATM,3.04,0,0,0
1267.43,17,POS,235.65,0,5,0
1072.01,13,ATM,59.44,0,5,0
181.49,23,Online,424.83,0,4,0
1670.77,7,POS,479.23,0,3,1
642.24,11,Online,479.38,0,1,0
